id,age,job,marital,education,location,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,41.0,management,single,tertiary,,no,4522.0,no,no,cellular,28,aug,55,1.0,-1,0.0,unknown,no
1,42.0,blue-collar,married,primary,,yes,398.0,yes,n,unknown,16,may,251,4.0,-1,0.0,unknown,no
2,26.0,student,single,secondary,Lisboa,no,706.0,no,no,unknown,8,oct,118,1.0,105,2.0,other,no
3,54.0,management,married,tertiary,,no,0.0,no,y,cellular,19,nov,307,3.0,-1,0.0,unknown,no
4,43.0,self-employed,married,secondary,Porto,no,918.0,yes,no,unknown,6,may,193,1.0,-1,0.0,unknown,no
5,34.0,technician,single,secondary,,no,52.0,no,no,cellular,19,aug,90,4.0,-1,0.0,unknown,no
6,40.0,management,married,tertiary,,no,143.0,no,n,cellular,13,aug,832,6.0,-1,0.0,unknown,no
7,41.0,blue-collar,divorced,secondary,Lisboa,no,,yes,n,cellular,31,jul,228,4.0,-1,0.0,unknown,no
8,45.0,blue-collar,married,primary,Lisboa,no,1794.0,yes,no,unknown,14,may,174,2.0,-1,0.0,unknown,no
9,51.0,management,single,secondary,Lisboa,no,,yes,n,unknown,16,jun,1248,,-1,0.0,unknown,yes
10,21.0,administrator,single,secondary,,no,325.0,yes,n,,16,may,467,1.0,-1,0.0,unknown,no
11,32.0,blue-collar,married,secondary,Amadora,no,897.0,yes,no,cellular,7,apr,293,3.0,322,2.0,failure,no
12,60.0,retired,married,primary,Braga,no,0.0,no,no,unknown,18,jun,104,1.0,-1,0.0,unknown,no
13,47.0,blue-collar,married,secondary,Lisboa,no,273.0,yes,n,unknown,4,jun,163,1.0,-1,0.0,unknown,no
14,43.0,management,married,tertiary,,no,1253.0,no,y,cellular,18,aug,52,3.0,-1,0.0,unknown,no
15,32.0,blue-collar,married,primary,Lisboa,no,1156.0,yes,n,unknown,26,may,185,5.0,-1,0.0,unknown,no
16,46.0,housemaid,married,tertiary,Porto,no,184.0,no,n,cellular,3,jun,167,,-1,0.0,unknown,no
17,31.0,management,single,tertiary,Lisboa,no,0.0,no,n,cellular,28,aug,35,31.0,-1,0.0,unknown,no
18,53.0,management,married,tertiary,Lisboa,no,0.0,yes,yes,cellular,21,nov,266,6.0,-1,0.0,unknown,no
19,27.0,services,single,secondary,,no,777.0,yes,n,unknown,9,may,131,3.0,-1,0.0,unknown,no
20,29.0,blue-collar,single,secondary,,no,2553.0,yes,no,cellular,16,apr,250,1.0,-1,0.0,unknown,no
21,35.0,blue-collar,married,primary,,no,0.0,no,n,cellular,31,jul,57,4.0,-1,0.0,unknown,no
22,32.0,technician,married,tertiary,Lisboa,no,514.0,yes,n,unknown,20,may,414,2.0,-1,0.0,unknown,no
23,36.0,services,married,secondary,,no,1053.0,yes,no,telephone,30,jan,99,1.0,259,1.0,failure,no
24,,unemployed,married,secondary,Lisboa,no,3640.0,no,no,telephone,5,feb,295,6.0,-1,0.0,unknown,no
25,29.0,services,single,tertiary,,no,1788.0,no,no,cellular,4,feb,303,1.0,100,1.0,success,no
26,43.0,,divorced,secondary,,no,777.0,yes,n,unknown,2,jun,130,,-1,,unknown,no
27,36.0,self-employed,married,tertiary,,no,16430.0,yes,n,cellular,19,nov,234,1.0,166,3.0,failure,no
28,32.0,services,married,secondary,Porto,no,-632.0,yes,y,cellular,20,apr,18,5.0,-1,0.0,unknown,no
