id,y
40000,0
40001,1
40002,1
40003,0
40004,0
40005,0
40006,0
40007,1
40008,0
40009,0
40010,1
40011,1
40012,1
40013,0
40014,0
40015,0
40016,1
40017,0
40018,1
40019,0
40020,1
40021,0
40022,0
40023,0
40024,0
40025,1
40026,0
40027,1
40028,0
40029,0
40030,0
40031,0
40032,0
40033,1
40034,0
40035,0
40036,1
40037,1
40038,1
40039,1
40040,0
40041,0
40042,0
40043,0
40044,0
40045,0
40046,0
40047,1
40048,0
40049,0
40050,0
40051,1
40052,0
40053,1
40054,0
40055,0
40056,0
40057,0
40058,1
40059,0
40060,0
40061,1
40062,0
40063,0
40064,0
40065,0
40066,1
40067,1
40068,0
40069,0
40070,0
40071,0
40072,1
40073,1
40074,1
40075,1
40076,1
40077,0
40078,1
40079,0
40080,0
40081,0
40082,0
40083,0
40084,0
40085,1
40086,0
40087,1
40088,1
40089,0
40090,0
40091,0
40092,1
40093,0
40094,0
40095,1
40096,0
40097,1
40098,1
40099,0
40100,0
40101,0
40102,0
40103,0
40104,1
40105,0
40106,0
40107,0
40108,1
40109,0
40110,0
40111,0
40112,0
40113,1
40114,0
40115,0
40116,0
40117,0
40118,0
40119,0
40120,1
40121,1
40122,0
40123,0
40124,1
40125,0
40126,1
40127,0
40128,0
40129,0
40130,0
40131,1
40132,1
40133,1
40134,0
40135,0
40136,0
40137,0
40138,0
40139,0
40140,0
40141,1
40142,0
40143,0
40144,0
40145,0
40146,0
40147,0
40148,0
40149,0
40150,0
40151,1
40152,1
40153,0
40154,1
40155,0
40156,1
40157,0
40158,0
40159,0
40160,0
40161,1
40162,0
40163,0
40164,1
40165,0
40166,1
40167,0
40168,0
40169,0
40170,0
40171,0
40172,0
40173,0
40174,0
40175,0
40176,1
40177,0
40178,0
40179,0
40180,0
40181,0
40182,0
40183,0
40184,0
40185,0
40186,1
40187,1
40188,1
40189,1
40190,0
40191,0
40192,1
40193,0
40194,0
40195,0
40196,0
40197,0
40198,1
40199,0
40200,1
40201,0
40202,0
40203,0
40204,0
40205,0
40206,0
40207,1
40208,1
40209,0
40210,1
40211,0
40212,1
